imo,description,ship_type
9694880,Passenger Ship,Passenger
9837432,Passenger Ship,Passenger
9994955,Heavy Load Carrier,Other
9109471,Tug,Tug
8843666,General Cargo,Cargo
9862619,Bulk Carrier,Cargo
8403143,Bulk Carrier,Cargo
9399480,Crude Oil Tanker,Tanker
9304904,Tug,Tug
9406661,General Cargo,Cargo
7826154,Reefer,Cargo
8890607,General Cargo,Cargo
9350484,General Cargo,Cargo
9283605,General Cargo,Cargo
9254472,Bulk Carrier,Cargo
9997892,Container Ship,Cargo
9251042,Bulk Carrier,Cargo
9970210,Bulk Carrier,Cargo
9394325,Oil Products Tanker,Tanker
9758545,Fire Fighting Vessel,Tug
8516756,General Cargo,Cargo
9773832,Wood Chips Carrier,Cargo
8748567,Fishing Vessel,Fishing
8996437,Fishing Vessel,Fishing
8964458,Multi Purpose Offshore Vessel,Cargo
8128896,General Cargo,Cargo
8308628,Hopper Dredger,Dredger
9759197,Oil/Chemical Tanker,Tanker - Hazard B
9334404,Oil/Chemical Tanker,Tanker
6807591,Tug,Tug
1043762,Container Ship,Cargo
9517446,Oil/Chemical Tanker,Tanker
9848649,Bulk Carrier,Cargo
9691113,Container Ship,Cargo - Hazard A (Major)
9331866,Bulk Carrier,Cargo
9055943,Fishing Vessel,Fishing
9263875,Multi Purpose Offshore Vessel,Tanker
9414981,General Cargo,Cargo
8307416,Bulk Carrier,Cargo
9498054,Bulk Carrier,Cargo
9207780,Bulk Carrier,Cargo
9965837,Bulk Carrier,Cargo
9473298,Multi Purpose Offshore Vessel,Passenger
9448671,Container Ship,Cargo
8815657,Fishing Vessel,Fishing
9562659,"Inland, Motor Tanker, liquid cargo, type C",Tanker
8921028,Tug,Tug
9697301,Oil Products Tanker,Tanker
9494606,Container Ship,Cargo
9792838,Fire Fighting Vessel,Tug
9147849,Tug,Tug
9129380,LPG/Chemical Tanker,Tanker - Hazard A (Major)
9411549,Yacht,Pleasure Craft
9868596,Passenger Ship,Passenger
8622115,General Cargo,Cargo
8614352,Fishing Vessel,Fishing
9780392,General Cargo,Cargo
8024818,Trawler,Fishing
9401556,Oil/Chemical Tanker,Tanker
8866242,Tug,Tug
9602277,Yacht,
9275282,Fishing Vessel,Fishing
1100986,General Cargo,Cargo
9688271,Tug,Tug
7048348,Tug,Tug
8356027,General Cargo,Other
1058420,High Speed Craft,High Speed Craft
9084267,Bulk Carrier,Cargo
9289336,Tug,Tug
9114660,General Cargo,Cargo
9431123,LNG Tanker,Tanker
8715223,Ro-Ro/Passenger Ship,Passenger
7918048,Trawler,Fishing
8748854,Fishing Vessel,Fishing
